liyi@liyi-Lenovo-IdeaPad-Y400:~/svn/dblpmining$ python hw1.py 1
[[u'Ruiping Wang', u'Zhiwu Huang'], 3.5999999999999996]
[[u'Ashish Sabharwal', u'Bart Selman'], 3.375]
[[u'Carla P. Gomes', u'Bart Selman'], 3.375]
[[u'Carla P. Gomes', u'Ashish Sabharwal'], 3.375]
[[u'Genevera I. Allen', u'Zhandong Liu'], 3.375]
[[u'Craig Macdonald', u'Iadh Ounis'], 3.2672268907563025]
[[u'Xilin Chen', u'Ruiping Wang'], 3.175925925925926]
[[u'Xing Xie', u'Jing Yuan'], 3.081018518518519]
[[u'Wynne Hsu', u'Mong-Li Lee'], 2.6999999999999997]
[[u'Wei Chen 0025', u'Mong-Li Lee'], 2.6041666666666665]
[[u'Xilin Chen', u'Zhiwu Huang'], 2.4]
[[u'Shiguang Shan', u'Ruiping Wang'], 2.381944444444445]
[[u'Stefano Ermon', u'Bart Selman'], 2.25]
[[u'Qinming He', u'Kevin Chiew'], 2.25]
[[u'Stefano Ermon', u'Ashish Sabharwal'], 2.25]
[[u'Shiqiang Yang', u'Meng Jiang'], 2.16]
[[u'Heng Huang', u'Feiping Nie'], 2.1268398268398268]
[[u'Yiqun Liu', u'Shaoping Ma'], 2.0833333333333335]
[[u'Jiafeng Guo', u'Yanyan Lan'], 1.988235294117647]
[[u'Shinjae Yoo', u'Dantong Yu'], 1.9055555555555561]
[[u'Qing He', u'Fuzhen Zhuang'], 1.8486111111111112]
[[u'Min Zhang 0006', u'Shaoping Ma'], 1.8225000000000002]
[[u'Shiguang Shan', u'Zhiwu Huang'], 1.7999999999999998]
[[u'Peng Cui', u'Meng Jiang'], 1.7999999999999998]
[[u'Hakim Hacid', u'Mokrane Bouzeghoub'], 1.7777777777777777]
[[u'Mohamed Reda Bouadjenek', u'Mokrane Bouzeghoub'], 1.7777777777777777]
[[u'Hossein Azari Soufiani', u'Lirong Xia'], 1.7777777777777777]
[[u'Lidan Shou', u'Ke Chen 0005'], 1.7436507936507937]
[[u'Peng Cui', u'Shiqiang Yang'], 1.6666666666666667]
[[u'\xc9ric Gaussier', u'Ioannis Partalas'], 1.6]
[[u'Jian Cheng', u'Cong Leng'], 1.5625]
[[u'Xueqi Cheng', u'Yanyan Lan'], 1.4695652173913043]
[[u'David C. Parkes', u'Lirong Xia'], 1.4222222222222223]
[[u'Hao Huang', u'Kevin Chiew'], 1.3846153846153846]
[[u'Jianliang Xu', u'Haibo Hu'], 1.3499999999999999]
[[u'Eunho Yang', u'Genevera I. Allen'], 1.3499999999999999]
[[u'Eunho Yang', u'Zhandong Liu'], 1.3499999999999999]
[[u'Yixin Chen', u'Wenlin Chen'], 1.3333333333333333]
[[u'Sunil Kumar Gupta', u'Santu Rana'], 1.3020833333333335]
[[u'Nicola Barbieri', u'Giuseppe Manco'], 1.2857142857142856]
[[u'Xuemin Lin', u'Wenjie Zhang'], 1.2736842105263158]
[[u'Gang Chen 0001', u'Ke Chen 0005'], 1.2676190476190476]
[[u'Tao Xiang', u'Timothy M. Hospedales'], 1.25]
[[u'Zhongzhi Shi', u'Fuzhen Zhuang'], 1.215]
[[u'Shahram Izadi', u'Jamie Shotton'], 1.1574074074074074]
[[u'Zhen Lei', u'Junjie Yan'], 1.1428571428571428]
[[u'Jia Wu', u'Shirui Pan'], 1.1428571428571428]
[[u'Nebojsa Jojic', u'Fabian L. Wauthier'], 1.125]
[[u'Ioannis Partalas', u'Rohit Babbar'], 1.125]
[[u'Ian J. Goodfellow', u'Mehdi Mirza'], 1.125]
[[u'Shengjin Wang', u'Liang Zheng'], 1.125]
[[u'Raviv Raich', u'Forrest Briggs'], 1.125]
[[u'Peng Zhang', u'Li Guo'], 1.0777327935222671]
[[u'Aaron C. Courville', u'Ian J. Goodfellow'], 1.0666666666666667]
[[u'Troy Raeder', u'Brian Dalessandro'], 1.0416666666666667]
[[u'Hanqing Lu', u'Cong Leng'], 1.0416666666666667]
[[u'Hong Qin', u'Dantong Yu'], 1.0285714285714285]
[[u'Hong Qin', u'Shinjae Yoo'], 1.0285714285714285]
[[u'Vladan Radosavljevic', u'Mihajlo Grbovic'], 1.0285714285714285]
[[u'Enhong Chen', u'Qi Liu'], 1.0135135135135136]
[[u'Stan Z. Li', u'Junjie Yan'], 1.0]
[[u'Massih-Reza Amini', u'Ioannis Partalas'], 1.0]
[[u'Jun Zhang', u'Chaokun Wang'], 1.0]
[[u'Assaf Glazer', u'Shaul Markovitch'], 1.0]
[[u'Michael Lindenbaum', u'Shaul Markovitch'], 1.0]
